Lieu : Mnémonique;Programme : Code;Programme : Libellé;Programme : Etat;Programme : Date de création;Programme : Droit : Personne : Responsable : NOM Prénom : Liste
145-P-580;MESOMAY_MAYOTTE_BELT_POISSON;Inventaire dans la zone mésophotique (50 à 150m) selon des transects autour de Mayotte;Actif;02/09/2022;DUVAL Magali|MAUREL Laurence|MULOCHAU Thierry
145-S-298;MESOMAY_MAYOTTE_PARCOURS_ALEATOIRE;Inventaire dans la zone mésophotique (50 à 150m) autour de Mayotte;Actif;23/08/2019;DUVAL Magali|MAUREL Laurence|MULOCHAU Thierry
145-P-182;MSA_MAYOTTE_BELT_POISSON;Medium Scale Approch - Mayotte - suivi des poissons par protocole Belt;Actif;25/04/2018;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
145-P-351;MSA_MAYOTTE_QUADRATS_BENTHOS;Medium Scale Approch - Mayotte - suivi du benthos dans des quadrats;Actif;25/04/2018;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
145-P-311;ORC_MAYOTTE_BELT_HOLOTHURIE;Observatoire des Récifs Coralliens de Mayotte - suivi holothuries;Actif;27/05/2019;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|MULOCHAU Thierry|SCHOLTEN Naomi
145-P-098;ORC_MAYOTTE_BELT_INVERT;Observatoire des Récifs Coralliens de Mayotte - suivis invertébrés;Actif;09/03/2016;BIGOT Lionel|BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
145-P-116;ORC_MAYOTTE_BELT_POISSONS;Observatoire des Récifs Coralliens de Mayotte - suivis poissons;Actif;03/03/2016;BIGOT Lionel|BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
145-P-098;ORC_MAYOTTE_LIT_BENTHOS;Observatoire des Récifs Coralliens de Mayotte - suivis benthos;Actif;03/03/2016;BIGOT Lionel|BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
145-P-096;ORC_MAYOTTE_QUADRAT_RECRUE_MALADIE;Observatoire des Récifs Coralliens de Mayotte - suivis des recrues de colonies et des maladies;Actif;11/05/2017;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
145-P-089;REBENT_FAU;REBENT Stationnel Macrofaune;Actif;18/05/2009;DUVAL Magali|FOVEAU Aurelie|LE ROUX Alois|MAUREL Laurence
145-P-007;REPHY;REPHY Phytoplancton et Physico-Chimie;Actif;05/06/2008;DUVAL Magali|FATRAS Lucas|GAUTHIER Emilie|LE MOIGNE Morgan|LE ROUX Alois|LEMOINE Maud|MANACH Soazig|MAUREL Laurence|NEAUD-MASSON Nadine
145-P-014;REPHY-ETUDES;REPHY Etudes Phytoplancton Hydrologie - hors cadre REPHY Observation ou Surveillance;Actif;15/02/2016;DANIELOU Marie-Madeleine|DERRIEN Amelie|DUVAL Magali|LE MOIGNE Morgan|LEMOINE Maud|MAUREL Laurence|NEAUD-MASSON Nadine
145-P-020;RNOSED;RNO puis ROCCH sédiment;Actif;05/06/2008;GROUHEL-PELLOUIN Anne
145-P-030;ROCCHSED;ROCCH Sédiment;Gelé;14/04/2010;BOUCHOUCHA Marc|DUVAL Magali|GROUHEL-PELLOUIN Anne
145-P-596;SUIVI_MAYOTTE_PCS_POISSON;Suivi de la population de poissons par PCS à Mayotte;Actif;12/05/2025;DUVAL Magali|JAC Cyrielle|MAUREL Laurence
145-S-578;SUIVI_MAYOTTE_STAVIRO_POISSONS;Suivi des poissons des récifs coralliens mahorais à l'aide des STAVIRO;Actif;01/03/2019;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|ROOS David|SCHOLTEN Naomi
145-P-129;SUIVI_MBOUZI_MAY_ALEATOIRE_POISSON;Suivi ilot M'Bouzi - Parcours aléatoire pour dénombrement de poissons;Actif;05/09/2017;DUVAL Magali|MAIGNE Louis|MAUREL Laurence
145-P-133;SUIVI_MBOUZI_MAY_BELT_INVERT;Suivi ilot M'Bouzi - GCRMN belt invertébrés;Actif;05/09/2017;DUVAL Magali|MAIGNE Louis|MAUREL Laurence
145-P-132;SUIVI_MBOUZI_MAY_BELT_POISSON;Suivi ilot M'Bouzi - GCRMN Belt poissons;Actif;05/09/2017;DUVAL Magali|MAIGNE Louis|MAUREL Laurence
145-P-134;SUIVI_MBOUZI_MAY_LIT_BENTHOS;Suivi ilot M'Bouzi - GCRMN LIT benthos;Actif;05/09/2017;DUVAL Magali|MAIGNE Louis|MAUREL Laurence
